,importance
type_id_a1,-2.505062673745672
type_id_a1,-2.485766082962771
type_id_a1,-1.3092768808372859
caley_zone_a0,-1.0719263488916715
result_id_a2,-1.0622129817998787
type_id_a2,-0.9641284683537135
angle_zone_a0,-0.947845801041226
type_id_a1,-0.8448206760419265
caley_zone_a0,-0.792218017194903
type_id_a2,-0.7851853263954697
caley_zone_a0,-0.6854238086956836
caley_zone_a0,-0.4959332285273144
type_id_a1,-0.4732183395630813
type_id_a1,-0.4662776682664498
type_id_a2,-0.4287088632435005
type_id_a2,-0.38618945883749894
caley_zone_a0,-0.3132030075624814
caley_zone_a1,-0.25988054886077433
type_id_a2,-0.14352443156929262
type_id_a2,-0.12107744231325782
type_id_a1,-0.0846262701446583
bodypart_id_a2,-0.03396058468990495
type_id_a2,-0.02778415378388278
angle_zone_a0,0.005484388052748876
caley_zone_a2,0.08626364848713264
angle_zone_a2,0.14406502947199404
type_id_a2,0.20667149821152378
angle_zone_a1,0.21443080994738958
type_id_a1,0.21902431141684808
caley_zone_a2,0.2266167598721905
type_id_a2,0.2467192748493414
type_id_a1,0.2978907012726761
caley_zone_a2,0.33651147617438154
bodypart_id_a1,0.39861493721518687
angle_zone_a1,0.41712996426449983
type_id_a1,0.48730367025727306
angle_zone_a0,0.6853895955710777
caley_zone_a0,0.8049567042985767
angle_zone_a0,2.7724321643494596
angle_zone_a0,3.0984724366385485
