,importance
start_dist_to_goal_a0,-0.5112486544103285
bodypart_id_a0,-0.3205087743185393
type_id_a0,-0.23375107365876518
caley_zone_a0,-0.23172332576738375
caley_zone_a1,-0.17214158339407784
angle_zone_a0,-0.17212491159120846
start_angle_to_goal_a2,-0.15861258886466448
caley_zone_a2,-0.15530930675901058
caley_zone_a1,-0.15097724881395844
type_id_a2,-0.09717127953641863
angle_zone_a1,-0.08309567307996159
type_id_a1,-0.08097917709031614
caley_zone_a0,-0.08011566776975329
caley_zone_a2,-0.06875722040321502
bodypart_id_a2,-0.06793018791717625
type_id_a1,-0.06581064351616113
type_id_a2,-0.062236191991886035
bodypart_id_a1,-0.05964755207962328
type_id_a2,-0.045958501030710815
start_angle_to_goal_a1,-0.03682242542636685
angle_zone_a2,-0.03661460636090914
type_id_a2,-0.033670000554569965
type_id_a1,-0.032970654944593315
dy_a01,-0.029860474012593813
type_id_a2,-0.02683827396184142
type_id_a1,-0.023464577130560254
type_id_a1,-0.022532218336497403
type_id_a2,-0.019426628405185675
caley_zone_a0,-0.017380045183408646
speedx_a01,-0.015351980074934064
type_id_a2,-0.01530820564365606
speedx_a02,-0.012243840612067005
type_id_a1,-0.010415374043722862
type_id_a2,-0.009424637548213531
angle_zone_a0,-0.00859606280562783
result_id_a2,-0.0022712467424688995
angle_zone_a0,-0.0015656832933653884
angle_zone_a1,-0.0009802214859028677
type_id_a1,0.002715951151000754
caley_zone_a0,0.003194985952758993
speedy_a01,0.005304259572821426
type_id_a2,0.014238514127893556
type_id_a2,0.01614137173832845
caley_zone_a0,0.017175734226051242
type_id_a1,0.017532365090691476
caley_zone_a0,0.01836450736036044
angle_zone_a0,0.020215851983687933
speedy_a02,0.024839581183848995
angle_zone_a0,0.03387033261195283
angle_zone_a1,0.04256336072897295
angle_zone_a2,0.047329284648667376
caley_zone_a2,0.04849366388475707
dy_a1,0.04981793160889196
speed_a02,0.05166317663955385
type_id_a1,0.06563126461785121
shot_angle_a1,0.06896953916845215
bodypart_id_a0,0.08675770065977488
type_id_a1,0.10630382055832033
angle_zone_a0,0.10847754008629308
shot_angle_a0,0.5018462177661146
