,importance
type_id_a1,-1.1803519561226492
type_id_a1,-0.9866160613039269
start_dist_to_goal_a0,-0.9713780780590566
bodypart_id_a0,-0.546186683105544
type_id_a1,-0.4997472466451318
type_id_a2,-0.49057502584674173
result_id_a2,-0.4717743864408096
type_id_a0,-0.4525244017605275
caley_zone_a0,-0.40538516650162876
type_id_a2,-0.36694131686878684
angle_zone_a1,-0.35264026817650146
type_id_a1,-0.3270613947533935
type_id_a2,-0.31902023804308965
bodypart_id_a1,-0.3105063515600676
bodypart_id_a2,-0.3093638771414447
caley_zone_a1,-0.3073018737833052
angle_zone_a0,-0.29863390523369066
caley_zone_a1,-0.27878802737448716
type_id_a2,-0.26889144905356716
angle_zone_a2,-0.25742716204261457
caley_zone_a2,-0.24579279685969027
type_id_a2,-0.1687661256461213
speedx_a02,-0.1389104919211834
caley_zone_a2,-0.12822798622990128
type_id_a1,-0.12009421008204248
start_angle_to_goal_a2,-0.1130068413436433
speedy_a02,-0.05742856846141871
dy_a01,-0.032515760968547844
speedx_a01,-0.02751879850093082
start_angle_to_goal_a1,-0.027186589192565166
type_id_a2,-0.025095247460605753
speedy_a01,0.0233045660596551
type_id_a2,0.030172407639947864
angle_zone_a0,0.03693603953537178
shot_angle_a1,0.04296717518637758
dy_a1,0.0703510111503856
angle_zone_a2,0.07908936360171233
caley_zone_a2,0.08663856212543879
bodypart_id_a0,0.09366228134503472
type_id_a1,0.11087533684548595
angle_zone_a0,0.13276888073536885
type_id_a1,0.1520883188520855
speed_a02,0.21176708942595504
type_id_a1,0.21779931869927044
angle_zone_a1,0.2309894607108799
type_id_a1,0.2834682954056344
shot_angle_a0,0.4202543808686942
type_id_a1,0.46710517509385674
type_id_a2,0.6396029641546527
caley_zone_a0,0.8357894713094216
caley_zone_a0,0.9429614046895389
type_id_a2,0.9907130936922075
caley_zone_a0,1.0476633973431535
angle_zone_a0,2.6244236373864394
