,importance
type_id_a2,-0.7725271560382869
result_id_a1,-0.7086418625872801
type_id_a2,-0.6923631031922738
type_id_a1,-0.6737319636740554
type_id_a1,-0.6478054233265816
type_id_a1,-0.6177792724121983
type_id_a1,-0.5921560905446599
result_id_a2,-0.5745695548161215
type_id_a2,-0.5413243082933362
angle_zone_a1,-0.5113707007971693
type_id_a2,-0.45981585795863594
caley_zone_a0,-0.418094033148859
type_id_a2,-0.4082240433737427
type_id_a1,-0.3885475608314898
bodypart_id_a1,-0.3806721280324525
type_id_a2,-0.3752737420492697
caley_zone_a1,-0.370817848850189
type_id_a1,-0.356212641115868
type_id_a1,-0.3487258645313226
caley_zone_a1,-0.3177651612869885
type_id_a2,-0.27071683692602644
type_id_a1,-0.26286642965522666
caley_zone_a0,-0.25003576233916097
type_id_a1,-0.24869572605245582
type_id_a2,-0.24306710779790522
bodypart_id_a2,-0.23775417921294742
type_id_a2,-0.19436586361926053
type_id_a1,-0.17760686206160148
caley_zone_a0,-0.16948026958188336
type_id_a1,-0.16259177890844306
type_id_a2,-0.14825103535861484
type_id_a2,-0.11859884088190749
bodypart_id_a1,-0.0853169423103426
result_id_a2,-0.023844240544742466
type_id_a2,-0.022381731798608542
type_id_a1,-0.006686030500488709
type_id_a1,0.2057182583949559
type_id_a2,0.20819384363686727
type_id_a1,0.28655554313478226
angle_zone_a0,0.33358220257289223
