,importance
start_dist_to_goal_a0,-0.5734988435958152
end_dist_to_goal_a1,-0.31628504580626404
dx_a01,-0.10883113329319315
start_angle_to_goal_a2,-0.08212614250995245
start_x_a2,-0.049362098375395146
movement_a1,-0.046784363209569045
start_angle_to_goal_a1,-0.03515530903240093
start_dist_to_goal_a2,-0.033735211752592975
type_id_a2,-0.03312408450862925
end_angle_to_goal_a2,-0.02642278956120226
dy_a2,-0.023121885295172923
start_y_a1,-0.018833307524631155
type_id_a1,-0.014596870049131119
movement_a2,-0.011116668613458279
dy_a01,-0.007605725512430924
type_id_a1,-0.004742734264934533
mov_a02,-0.0047279457482869635
type_id_a1,-0.004644787653306447
dy_a02,-0.0011535596155408366
result_id_a2,-0.0010873404202448077
type_id_a1,-6.128646187541114e-05
caley_zone_a0,5.127262307591667e-05
caley_zone_a0,0.0012188714981404961
end_y_a2,0.0021063172605371586
end_y_a1,0.0025970473220536857
start_y_a0,0.005705866959205917
start_x_a1,0.0058930137829770945
type_id_a2,0.006559946057155599
end_x_a2,0.006563844112212365
angle_zone_a0,0.008781765657935953
angle_zone_a0,0.0103587080154007
speedy_a01,0.017035273136787574
dy_a1,0.021559554624956873
start_y_a2,0.021802720250921007
speedx_a01,0.03192309251615083
shot_angle_a2,0.03618091768916892
dx_a2,0.059641536849736304
speedx_a02,0.06051181077374441
mov_a01,0.06221826712890862
angle_zone_a0,0.07257568187650061
