,importance
start_dist_to_goal_a0,-0.03487919688918545
end_dist_to_goal_a1,-0.024235918796480047
caley_zone_a0,-0.012469890148661315
start_dist_to_goal_a1,-0.010681286723319557
angle_zone_a0,-0.009717645363597817
end_dist_to_goal_a2,-0.009274611929865428
dx_a02,-0.007834483547990176
angle_zone_a0,-0.006013521865494827
start_dist_to_goal_a2,-0.004776028337226325
start_angle_to_goal_a2,-0.0041111729395907895
angle_zone_a2,-0.003912758901711012
angle_zone_a1,-0.0036592701291833078
bodypart_id_a1,-0.003576402778991322
bodypart_id_a0,-0.002870312123104804
type_id_a1,-0.002769703716922144
angle_zone_a1,-0.002732023731876117
start_y_a1,-0.0026963663142977466
caley_zone_a1,-0.0026207067439271005
caley_zone_a0,-0.0025963754788756598
type_id_a2,-0.0025867342815631866
dy_a2,-0.002449937771422426
type_id_a1,-0.0023182083545886948
end_y_a2,-0.0022324947457485872
type_id_a0,-0.0021996630731500695
caley_zone_a2,-0.0021715906142826835
dy_a02,-0.0019883665032294877
caley_zone_a1,-0.001975219467154378
result_id_a2,-0.001860911579514732
bodypart_id_a2,-0.001852086692980435
result_id_a1,-0.0017522869340151775
time_delta_2,-0.001722285264819121
caley_zone_a2,-0.001685852180329657
caley_zone_a1,-0.0015942424592283852
type_id_a1,-0.00153896216189835
caley_zone_a2,-0.001204864887435846
movement_a1,-0.0011392279677168553
end_angle_to_goal_a1,-0.0009494337778763782
end_y_a1,-0.0009384996357475504
angle_zone_a0,-0.0008909405426864598
caley_zone_a0,-0.0008630890460079541
caley_zone_a0,-0.0008445091630434479
angle_zone_a2,-0.000827211117655519
dy_a01,-0.0007940208261420753
type_id_a2,-0.0007351255007858719
start_y_a0,-0.0006750078590175917
caley_zone_a1,-0.000651765837906013
type_id_a2,-0.0006281868284818905
type_id_a1,-0.00046674755176605325
result_id_a1,-0.0004473761391348964
type_id_a2,-0.00044354444431781256
type_id_a2,-0.00043289153883283726
dx_a01,-0.00035483420969945794
type_id_a2,-0.00034557170377670274
angle_zone_a2,-0.00033456187395224503
result_id_a2,-0.0003284020911062534
type_id_a2,-0.00028171614072906707
angle_zone_a1,-0.0002583036339633374
bodypart_id_a2,-0.00025197518085293466
type_id_a1,-0.00021758391952908935
time_delta_1,-0.0002078487032087372
caley_zone_a0,-0.00019497884407884683
type_id_a1,-0.00019492782408797737
type_id_a2,-0.00019297132049905742
type_id_a1,-0.00018237100348643309
start_angle_to_goal_a0,-0.0001817212618493511
type_id_a2,-0.00014944435600837874
bodypart_id_a1,-0.000141813694507774
type_id_a2,-0.00013939124807042807
caley_zone_a0,-0.00013527456983385386
bodypart_id_a2,-9.560119931670363e-05
type_id_a1,-8.824153360194384e-05
type_id_a1,-5.5946609162295973e-05
angle_zone_a0,-4.4904450250566014e-05
mov_a02,-2.7672467897095298e-05
type_id_a2,-1.8433907914246054e-05
result_id_a2,-1.034940252909016e-05
caley_zone_a2,-4.469661242200554e-06
angle_zone_a1,2.6465181678807134e-06
type_id_a1,6.526846874864575e-06
caley_zone_a1,9.58677261575461e-06
type_id_a2,4.451981998173003e-05
type_id_a1,4.521967619498717e-05
type_id_a2,4.831839877594837e-05
type_id_a1,0.0001032945904596816
caley_zone_a2,0.00011853503851897527
type_id_a2,0.0001459521529144352
angle_zone_a2,0.00016618292885641433
angle_zone_a1,0.00018381369126186436
type_id_a2,0.0001928040809067708
angle_zone_a0,0.00021427570781227956
start_y_a2,0.0002146709788432718
angle_zone_a2,0.00023006501461506879
angle_zone_a2,0.0002447792049276857
caley_zone_a2,0.0003668317573442935
type_id_a1,0.0003977073919872873
angle_zone_a2,0.0004498710841296812
caley_zone_a2,0.00047821868502318085
caley_zone_a1,0.00048597841627215203
type_id_a2,0.0006451862599505804
movement_a2,0.0006478128311430864
bodypart_id_a0,0.0006706490499547286
caley_zone_a1,0.0006730340766472587
type_id_a2,0.0007855990827537291
angle_zone_a1,0.0007893921602323024
angle_zone_a2,0.0008024211443743405
angle_zone_a1,0.0009045410290246552
caley_zone_a2,0.0009246693229964294
caley_zone_a2,0.0009788594662574345
angle_zone_a2,0.0009815494432655082
start_x_a2,0.0010963049048830504
angle_zone_a1,0.0012463533813652332
angle_zone_a1,0.0013231876418207656
mov_a01,0.0013637549771766554
bodypart_id_a1,0.0015185534003490245
angle_zone_a0,0.0015836147052830571
caley_zone_a1,0.0016459432266861308
type_id_a1,0.0017150060800197307
angle_zone_a0,0.0017992506681555216
caley_zone_a1,0.0018277289428445048
type_id_a2,0.0018919684025462092
caley_zone_a0,0.001993175832516184
dy_a1,0.0023070598173490623
speedx_a02,0.0031256875949949832
speedx_a01,0.0032075202487781497
speed_a01,0.003347676133596891
type_id_a1,0.00336527501635636
speedy_a01,0.00336600517189895
end_angle_to_goal_a2,0.0036233999631660628
start_angle_to_goal_a1,0.004080190605482698
angle_zone_a0,0.004195261053688314
caley_zone_a0,0.004923577381101029
shot_angle_a2,0.005824427410501896
dx_a2,0.006505436558056206
angle_zone_a0,0.006674947013940416
speed_a02,0.006855021227261622
speedy_a02,0.006855068798056493
caley_zone_a0,0.007987700963733716
dx_a1,0.00804090503074296
end_x_a2,0.008263706588179131
start_x_a1,0.009119474552886982
shot_angle_a1,0.012723344775724121
end_x_a1,0.02127356649171811
start_x_a0,0.030139647188105797
shot_angle_a0,0.04480227204686015
